uid,cat
40585382,1
30005269,0
3314758074,0
14311688,0
110457801,0
269062860,1
1656126090,0
758669826,1
21056856,1
954363313,1
337284868,1
203541550,1
156333623,1
587865313,0
4750028375,0
115703194,0
15475471,1
2701352961,0
383978282,1
1031038448,0
115402745,0
168516256,1
293602749,1
2734365015,1
45025729,0
183825988,0
954537696,0
187838951,0
13134132,0
142082006,0
17976923,0
44579901,1
2604799262,0
110445334,0
2560114934,0
18020589,1
19266287,0
216776631,1
29590509,0
92591950,1
2295018296,0
4340820854,0
4825930887,1
790903590,1
874865167,0
2236855903,0
2590343858,0
2368167096,0
952755865,1
174925229,1
940501590,1
69401520,1
204192344,1
244255664,1
624424692,0
2966205003,1
839041598,0
3633358032,0
14640695,0
719339280,0
4542922882,0
905717526,0
15896985,0
557334459,0
317934789,0
498606133,1
1066130576,1
49715720,1
152887445,0
162130269,0
172882920,0
18027868,0
113635077,0
635904401,1
14203536,1
24306618,0
353351870,1
862131258,1
1023193092,0
128210898,1
4013838856,1
1343876084,1
560595425,1
587931720,0
3409254867,1
49010609,0
3433544427,1
17888100,0
93294953,0
1389906121,1
7702542,1
3016501992,0
35536897,1
31296078,1
17000866,0
21695125,1
2232234570,0
2666776129,0
143628199,1
369044765,1
3630049992,1
28054095,0
24408575,1
25856559,0
34094609,0
2896546515,1
3485520135,1
124540457,1
2366681,1
23124635,0
21980139,1
4159718177,1
779576,1
636458745,0
932800111,1
1672224415,1
22840740,1
368620668,0
118885542,0
90440230,1
338779219,1
246769138,0
127929667,1
476848835,0
23654825,0
249843937,1
634017251,1
38739066,0
56824433,1
420958041,0
866664906,1
51799302,0
2900743415,0
36171841,1
195930557,1
17681451,0
16438594,1
453086264,0
50378967,1
3388290885,0
50769180,0
3267492818,0
2358208718,1
18497595,0
3820050292,1
235271965,1
19615120,0
1071777608,1
3690067995,1
3010143747,0
278005891,1
831988088,1
23247996,1
4147751584,1
22024503,0
21798534,0
42007823,0
721504266,1
190053325,1
205340154,0
1964042322,1
18455366,0
616297361,0
2746414153,0
44893,1
3320162663,0
24795242,1
222622640,1
3892157481,1
35277267,0
14236852,1
1546147508,0
19069521,0
197843269,0
376562166,0
3738917600,1
18678924,1
32029132,0
394359359,0
78514857,1
403858219,1
36890646,1
21233325,0
98458379,0
359516410,0
34122276,0
75475026,0
18697888,1
17238590,1
236026761,1
71416149,0
22545491,0
333043953,1
35767305,0
1699623224,1
39454438,1
858646280,0
129760550,1
48549738,0
949835311,0
307629778,0
2177123702,1
886157270,1
3310908151,1
176796221,0
416722509,1
49598131,1
3236873507,1
11007662,0
519896893,1
347193582,1
2360448613,1
2330731525,1
292505409,1
779097842,1
4601118140,1
47057647,1
447546057,1
39279043,0
139972615,1
2738717665,1
36498673,1
65557909,1
54561993,1
41898879,1
19788618,1
94915480,0
972662461,1
99144305,0
4706570813,1
42880362,1
2881301715,0
2550890816,1
3025003720,1
29086472,1
2230473230,0
144612867,0
3681348617,1
4481163393,0
4432916014,0
258567574,1
201547553,1
14630564,0
454912111,0
2433566857,0
245953646,0
37769574,1
1528242061,0
224444406,0
133758692,0
48444278,1
20867272,0
803826720,1
1720817863,0
532676436,0
1074310886,0
2499303607,0
4718150518,1
49733766,1
16028034,0
416842611,1
292362121,0
4180165829,0
355696604,0
3012414755,0
595578809,1
998576058,0
4020420568,1
1645328954,0
137733112,1
21659492,1
4701041535,0
3303928256,0
3237579812,0
113072081,1
429695311,1
2195608503,1
2730970120,1
73829621,1
22963273,0
3639474493,0
137514668,1
22997510,0
16305487,1
357561890,0
2497454401,0
364010095,0
346815292,1
25911706,0
57684806,1
20144167,0
31290464,1
2355934457,1
361870867,0
525761544,0
305163717,1
1021559718,0
44032833,0
3002952799,1
8849102,1
2345807090,1
343772856,0
2644762419,0
2339476988,0
53192639,1
18653454,1
1348083672,1
36444204,0
932966863,0
1113351625,1
112541613,0
756899642,0
15976705,1
36837724,0
306939659,1
1202789064,1
24355160,0
30421467,0
705577153,0
18205761,0
19877680,1
230568536,0
248995042,0
895314493,1
406068993,0
64302962,0
1011766976,1
4141559359,1
58670024,1
2497157000,0
150135224,1
93152866,1
100554315,1
21137449,1
28362018,0
624774427,0
501170062,1
2926366047,0
387383722,1
57540655,0
62277577,0
383922702,0
133021695,0
3964226699,0
224311355,1
1871547854,0
38731527,1
603886018,1
24613220,0
724878049,1
830877463,1
19457805,1
1074522702,1
130604407,0
331355788,0
16474156,0
63504074,1
3307944937,1
2874009869,1
723146082,0
217446893,1
39548912,1
325304262,0
60602837,0
4623339201,1
581543787,0
44990696,0
734160380,1
81723807,0
30349661,1
240932929,0
358521305,1
218150364,1
21055261,0
50351465,0
3065907707,1
23104649,0
18020811,1
2326854693,0
211271465,1
326480958,1
199387685,0
777088074,0
890101902,0
89317081,0
1500029251,0
38813274,0
138854122,1
761557088,1
243291022,0
570022515,0
19916171,1
19458164,0
2254641212,0
621478741,1
3076919760,1
2806660159,0
4131368296,1
238648688,1
1387408597,1
78445977,1
531863067,0
83529744,0
25000229,1
290191224,0
2880201987,0
339852137,0
3093187233,0
1244661222,0
562871832,0
65743043,0
238195632,0
505109831,1
499266305,0
82250987,1
1679744198,1
605758263,0
52387455,0
2816440097,0
65820642,1
182189225,0
52236463,1
293131808,1
19615832,0
3079981978,0
125724234,1
310494686,0
3314645689,0
1337600762,0
166655653,1
24747191,0
18852393,0
2280115838,1
4705907779,0
156763824,0
1296786590,1
370552834,1
47549624,0
197098194,0
4407191068,1
66923871,0
64249447,0
103071090,0
16532983,0
1317803390,1
1708059272,0
42716331,1
3269091415,1
308900763,0
574670873,0
2694401642,1
809979841,1
52619456,0
355370633,1
55348286,0
374069067,1
430802881,1
376756573,1
304494040,1
3344783050,1
276328820,1
335116707,0
19433939,0
176692411,1
441193606,0
10355,1
68549521,1
38878060,0
3153174316,1
385147518,1
15691324,1
17297166,0
832576093,1
2559384143,0
2150031902,0
168934439,1
600177356,1
575895055,1
67617690,0
429571147,0
7172432,1
3709164012,1
242444091,0
995628162,1
864078074,0
30172459,1
3350216081,1
19311523,0
272577317,1
2295233574,0
29326599,0
238442402,0
1350912326,0
469845522,1
248346266,0
607558430,1
2243378234,0
3697804463,1
18266821,1
3164886903,1
3059250362,0
3072008186,1
386202514,0
312213566,1
3280722818,1
45571645,0
78456489,0
17993906,1
214331711,1
2321878080,1
448291650,1
944932813,1
194464923,1
3180607247,1
68202182,0
23548525,0
753647880,1
16262470,0
316783560,0
2195243312,1
4040901909,0
3905275583,0
59486472,0
69497938,1
72750914,1
3251097097,1
317617108,1
17635160,0
3130735261,0
2364461557,1
27026346,1
63835199,1
3420848757,0
251291557,0
4568853443,1
335918371,0
3960262756,1
2203971528,0
213026984,1
37738073,1
51314522,1
116200814,0
868856461,1
1627799545,1
14402724,1
695357598267125760,1
873142274,0
76681882,1
188198082,1
16031769,0
225277047,0
628752484,1
121133237,0
242832905,1
42818473,0
97371315,1
3189224460,0
138277839,0
999311168,1
1904772828,0
23520930,0
2746379551,0
488809923,1
74314217,1
407947020,0
15415967,1
731596345,1
2168986671,0
414373278,0
2175188396,1
67390256,0
2996570106,1
601842288,0
101120274,0
80034719,0
149610180,1
17218468,0
1317381,0
72547151,0
2195808552,1
59702598,1
59173677,1
177564016,0
1449625616,1
31058145,0
22318626,1
2314090526,1
626688041,1
3763318883,1
3169462226,1
2924801520,1
275685072,1
2162761174,1
2718428498,1
3058887913,0
848302741,1
5795572,0
192596230,1
26874225,0
2158158645,1
14049462,0
23710429,0
4746895581,0
16473427,1
25527150,1
840622404,0
37269120,0
407573428,0
187581171,0
5568292,1
21030121,1
438736784,0
115059160,1
18939358,0
414648609,1
4124623960,1
755835576,1
4085635180,1
1262879887,0
1962929653,0
22033805,0
268448523,1
52081125,0
58033385,1
37624932,0
29923916,1
91441874,0
16241878,1
157050986,1
188449160,1
333107032,1
1180301,0
3315192012,1
117507629,1
27582727,0
21091229,0
265489252,0
961734667,0
57325904,0
40607615,1
297310910,1
582295417,0
1436605442,0
3304303757,1
15060747,0
2689043886,0
360946333,0
36801473,0
42822396,1
25311341,0
104000378,0
577825345,1
459792996,0
631313285,0
382438492,0
3139898299,0
376949684,1
1595496708,1
267316393,1
118836372,1
3226079689,1
391573146,0
417478694,0
23203359,0
3089946557,1
27699961,1
357300252,1
6722,1
827926069,0
345896625,1
38528836,0
197236418,1
2712172686,1
944642671,0
240714345,0
2237834875,1
219084220,0
4291282873,0
2461810448,1
12926172,1
1387592869,1
2551180021,0
92506321,1
15952856,0
295897418,0
792634424,0
2470047700,0
3179478090,1
331983140,0
74236071,0
291369430,1
963230768,1
1206558678,0
18581705,1
597644044,1
16351985,0
17495447,0
195766432,1
47975734,1
46184745,0
36615012,1
206265372,0
289175167,0
3394667967,1
3497167213,0
209319823,0
9451662,1
325921900,1
15186971,1
2220292128,0
559978530,1
15255006,0
3389655273,1
289368447,0
314243234,0
23281108,0
3668611757,1
394474205,1
3319519356,0
298781633,0
37349340,1
85363585,0
11672342,0
2702734410,1
69773058,0
7591572,1
24501412,1
21165339,0
1099826976,0
1729124970,1
474645178,1
60993405,1
20684989,0
244770364,0
351898998,0
41067762,0
111933190,0
19790770,1
20681628,1
95717760,0
4073888353,0
111343639,0
270437243,1
1687298582,1
863605267,0
1432131944,1
2874634052,1
185535371,1
92437974,1
626886043,1
371397630,0
32056871,0
26372677,0
1548243109,1
498230908,1
241384833,1
178596923,1
596311249,1
21688902,1
33580347,1
62052619,1
141376562,0
519932425,1
35382877,1
3249362245,0
3349433536,1
129077995,1
15407375,0
133259725,0
3311348833,0
291513513,1
6261642,0
17095723,1
395625066,0
3222432010,1
2346158455,0
22891564,0
21164689,0
299381206,1
48477900,1
2847883879,0
195973204,0
292519466,0
1335961452,1
386764875,1
11378462,0
799529779,0
705706292,0
2783194480,1
3309950330,0
58311658,1
82016286,1
229248432,0
1968014772,0
325054889,0
1339835893,0
81395968,0
4518736045,1
26588502,0
1207286900,0
755790420,1
2164381682,1
702006403,0
739351160,0
939091,1
43567311,0
368568843,1
77294056,0
16644712,0
2359731965,1
788343169,0
1955688926,0
300053065,1
18954286,1
213962797,0
68625762,0
2301659258,1
63225796,1
398452420,0
25913142,1
281156557,0
74282530,0
555201529,0
20050915,1
52876882,1
731526846,1
2499295284,0
37438404,0
274581613,0
1090219536,1
216841278,0
56672927,1
1970087160,0
277800457,1
1905729582,0
269448653,1
21810123,0
2202263414,1
25664074,0
17280918,1
3798251478,1
412686993,1
361417698,1
523105850,0
2695002217,0
24916638,1
53945972,1
3311160710,0
1433637769,0
3025764963,0
279755174,0
1019950873,1
209484116,1
38595528,1
204176679,1
21288557,1
147696336,1
3375878043,0
307820351,0
123134034,0
306344737,1
15865248,0
31509026,1
19235973,1
3195390296,0
2326113378,0
240819926,1
23047832,1
3107686871,0
41925838,1
467875256,0
19358607,0
3028820445,0
16335761,0
1131111,1
486768205,1
296371888,1
36191695,0
352598172,1
186751707,0
143895087,1
16219550,1
1538868434,1
325853223,1
65907232,0
3170274468,0
594229541,0
1520725590,1
122869223,0
809225064,1
95668275,1
3255245682,1
2426327155,1
547189216,1
102700850,0
13218102,0
286367952,0
486346356,1
1464864852,1
2854482238,1
18772914,0
161686614,0
22527499,0
137855301,0
3313960508,0
528429381,1
2991368880,1
58952871,1
402345799,0
2568524389,0
3207675783,0
49660211,1
24836075,1
43917829,1
4253752876,0
3309802435,1
100091177,0
40408827,1
132511005,1
272107377,1
23836779,1
279636823,1
3909966435,0
17076095,1
55710989,0
4254806353,1
14726811,0
374259409,0
152145921,0
36743910,0
906495913,0
4208698392,0
462134852,1
1614066366,1
209620473,0
407640301,0
59810183,0
86372317,1
2475836743,1
75806520,0
1439876228,0
62421328,1
20606810,0
25265738,0
16329577,0
17837017,1
29509675,1
2716349243,1
197519095,1
611308415,1
533553739,0
186288688,1
1758171,1
256521798,0
3937228100,1
1851725996,1
720239197,1
17458783,1
174779836,1
327706695,0
16210489,0
1214819664,1
2945773214,0
78894518,1
17340781,0
5781452,0
21984164,0
365764168,0
258408570,0
610183411,1
18402924,0
3405913271,0
440567869,1
383340290,1
3310017948,1
142860446,1
18893580,1
163194830,0
200182725,0
331208078,1
1940115192,0
3376749479,1
16311464,1
3952120043,0
212006850,1
59243142,1
17452615,1
322221442,1
41921355,1
3343448255,0
39617434,1
1708437751,0
4140183553,0
156752362,0
278722204,1
72380703,1
2940099646,0
14816721,0
2369921389,0
90448142,0
2316330168,0
177798012,1
18281189,0
163713514,1
32358674,0
226260943,0
42350096,1
754288802,1
44960116,0
3554869994,0
23006373,1
1891432459,1
333675022,0
36710767,0
64269721,0
245204777,1
10825502,0
2449372477,0
749937876,1
43182702,1
139415862,1
2237466028,0
2454631243,1
56371915,0
358091193,0
516017027,0
4493507062,1
75880118,0
43648713,1
1955118518,0
32453116,0
622455036,1
476256944,1
3152042415,0
3279219698,1
23636341,1
15693692,0
3515560155,0
480814884,0
1072803127,0
4504018427,1
27187005,0
8512722,1
242892689,0
22857194,1
165085226,0
14364749,0
4584443975,0
39013861,0
354337709,0
32726850,0
74773564,1
1947485857,1
25162697,1
82181907,1
38021361,1
51795253,1
123008115,0
36806703,1
893568606,1
2689468341,1
523591464,0
4640092346,1
18444665,1
411918721,0
1149344839,0
3415493212,1
428631601,1
408454349,1
16887628,0
3297391523,1
698193,1
29325242,1
3495085120,0
27588562,1
82151660,1
4661146402,1
2860625852,0
3306293186,0
1604701051,0
24952046,1
285638570,0
1684036974,1
899049446,0
146447628,0
2317178662,1
289781545,0
275857287,0
1406922781,0
3380367683,0
357827599,1
33313202,1
3322149778,1
21265120,1
23241163,1
196536113,0
19914257,0
24638657,0
632564853,1
3135645112,0
401569702,1
344412867,0
343327974,0
19789188,0
180839707,0
483482112,1
1055531124,0
2246241658,1
25952311,1
41487586,1
82132833,1
177641630,0
3234206654,0
854992056,0
191867394,0
230871431,0
773670450,0
313091751,0
51510736,0
509485926,1
41540854,0
102688191,0
16452919,0
303314492,1
31713008,1
49285444,1
350887092,0
233259110,1
59674605,0
137566576,1
120781294,1
19276257,1
3299975372,0
42930296,0
109586282,0
27949996,0
296574324,0
3322696214,1
364389624,0
91905327,1
23365981,0
250954927,1
1488650232,0
179811206,0
21002366,1
237312687,0
22069647,1
96181713,1
4201251624,1
89496720,1
4229716820,1
32110569,1
2173646835,1
3325828246,0
20110773,1
3148537777,1
2444857334,0
2902585625,0
62872080,0
1554964502,1
403468694,0
3286760858,1
41758974,1
465833678,1
403665646,1
2931029238,0
41813485,1
399712913,0
63067880,0
134202175,1
19349317,0
76188063,0
516108777,1
122212010,0
2922297122,1
22450268,1
15463671,0
4012843516,1
3958327401,0
16789970,1
31561408,1
2155687536,1
51179407,0
34523410,0
2865834880,0
865538526,1
22749876,1
4150054588,0
2938651298,1
769058707,0
1900685912,0
495377071,1
2352305706,1
24443485,0
593432350,1
48415072,1
18197328,1
34514931,1
1733468162,0
4498652896,1
559969624,0
247119832,0
36654245,1
38424514,0
41826994,1
4504290695,0
274169440,1
43136307,0
28272540,0
25775645,0
2414503201,1
17998887,0
2564494802,0
1135622396,1
183731939,0
613172732,1
221969181,0
3183297271,0
910918958,0
35922960,1
515562132,0
24439201,1
17382387,0
601074162,1
556312149,1
31155288,1
218314927,1
1705054388,0
2438765444,1
491734047,1
16310786,0
327066017,0
258918382,0
263574104,1
25318744,0
1332365803,0
589500532,0
132763833,1
49763537,0
2940964728,1
241186747,0
390481732,0
634157937,0
143660061,0
371347463,0
34714205,0
798967789,0
18388923,1
150521075,1
466086296,1
292051264,0
240427862,1
349294024,0
17797249,0
414312468,1
21508474,1
725707543,1
707128839,1
35221731,1
452521774,0
41738027,1
2434306537,0
256433721,1
14465607,0
1563164448,0
1395185065,1
237862972,1
228554424,1
58559328,1
5972532,0
41668297,1
16444015,0
562507893,0
2909868482,0
3104820945,0
94887063,0
2264980638,0
281768922,1
15822642,1
163352178,0
2516300282,0
933406238,0
252805688,0
34843304,1
2732348582,0
22667534,0
2956981377,0
4009422633,0
386267091,0
16800091,1
631546021,0
241608131,0
46218353,0
300463030,1
2845477805,1
42738691,1
3590872880,1
66533526,0
24735461,1
17971114,1
3396361684,0
449430008,1
1931999353,0
4686567074,1
26265791,1
341223818,0
140519774,1
59676104,0
50325797,0
34656830,0
18791594,0
76656451,1
336764406,1
19574839,0
911768418,0
3279557418,1
814093100,1
24166630,1
40454187,0
250912045,0
17643901,1
7838162,0
29126313,0
374648372,0
45887947,0
4870839406,0
133725603,1
16952837,0
4191134957,1
1076842250,0
164005365,1
4624858456,0
1409364397,0
787585052,0
332207555,0
575149470,1
250325198,0
4157825020,1
1491381170,1
48807945,0
41017380,1
595902230,1
142137035,0
225599040,1
470643313,1
4851233325,0
239153333,1
40253768,0
29471556,0
11509602,1
38029164,0
12738012,0
620052304,0
15227483,1
41269920,1
15314135,1
21483814,0
132204008,1
277845186,0
2981645663,1
1683834049,0
2812217312,1
262755165,0
164481340,1
320503845,0
275378900,1
90108332,1
383029818,0
2250261,1
3071493946,0
24254006,1
404574164,1
18144612,0
19584890,0
1728738829,1
786569252,1
3287847619,1
487032036,0
4623340371,1
161555482,0
89091453,0
23394127,0
3242590510,1
295648970,1
70620140,0
4841174388,1
19929362,1
265917300,1
3355845593,1
3917089098,1
1853913469,0
2739651536,0
153881641,0
2745066697,1
4569139747,0
2785130772,0
65063850,0
2916017550,1
550632235,0
412316336,1
2571867992,0
874938366,0
59545158,0
63351677,1
19085097,1
34585261,1
2880185798,0
67738960,0
2589976148,1
400497774,1
174927331,1
144318667,1
2851818146,1
3328708713,0
14319800,0
52774812,1
2957761772,0
46574097,1
279386436,1
18182408,1
2355322945,0
4736884175,1
17172392,0
14389102,1
59213941,1
237842283,1
1485742580,0
282108186,1
103375658,0
1507041006,1
488702565,0
85569371,1
2447468288,1
114623005,1
505337190,0
3278765534,1
325832052,1
206872748,1
3300966231,1
57029492,0
93905795,0
3419324033,0
1852333327,1
241621002,1
917819239,1
3448884192,1
1406130420,1
17930574,0
260382046,0
23924320,1
3124483837,1
170031567,1
130945778,1
861889543,1
103970616,1
54982829,0
553855315,1
275258548,0
20100423,0
234670640,0
1297947752,0
1144006176,0
252398355,0
418875353,0
101875332,1
2153505157,0
302244545,0
628543760,0
112651673,0
416003202,0
4164957133,0
948215574,1
56347685,0
219010139,0
3634706067,1
18492940,0
2865078826,1
16798982,0
458635162,0
3386879464,1
30601622,0
625154752,1
1357946360,0
74498666,1
499822756,1
72112616,1
74035340,1
37479677,0
2977016067,0
60646940,1
1082936041,1
3472931595,0
179299693,0
979124552,1
14326339,1
418398650,1
516013541,0
22310950,1
240363117,1
1644096476,0
175455888,1
169586280,0
176896430,1
302199985,0
631594179,0
57048551,0
2387702150,1
4548601,1
237781383,0
437592791,0
24338179,0
3230206904,1
3347975068,1
88784440,0
15024479,0
194615561,1
42314856,0
4320799523,1
152532187,0
15908706,1
203206898,1
257983058,0
2561668081,0
16709451,1
2610029334,0
263815367,1
23840179,0
2926744720,0
2801124931,1
2411004076,0
154442784,1
528120253,0
2444387672,0
1117644769,1
20643723,1
17844611,0
1173689738,1
59331128,0
247421834,1
242594752,1
18492276,0
270178676,1
2224206043,0
1282992704,0
305669196,1
3395004466,1
505146751,1
51039191,0
3986438840,1
735385014,0
14730859,0
3952503275,1
4193745974,0
30255256,0
2930670712,1
716516792,1
177022004,0
1527091,1
511522177,1
86308014,0
2651126504,0
342768115,1
1961815747,0
19268706,0
237520840,0
111162630,1
321787970,1
1406556270,1
4205814682,1
27829587,1
20508720,0
21998010,1
408051296,0
119491006,1
18523265,0
2618486504,1
4779309194,1
605569140,1
202206694,0
34360376,0
43705201,0
35055391,1
73303753,1
2956789224,0
91377272,1
14725649,0
196678926,0
306338794,0
99371963,0
1915528638,0
63150856,0
115267792,0
59612030,0
4764737738,1
628559456,1
4905922076,0
330631056,0
14749672,1
1959171672,1
130606020,0
2713094767,0
308551700,1
64826582,0
2433441704,0
21830367,0
193794406,1
371419323,0
9780452,0
275668847,0
1703655102,1
3312053648,1
621464573,1
2722572896,1
3118589409,0
16102244,1
9489212,1
433685408,1
216380516,0
460656473,1
314866815,1
20567334,0
156283168,1
28495702,1
18409321,0
54226122,1
25446308,0
116337684,0
3280852698,1
206865585,1
59002903,0
272510657,0
2691594799,0
22022474,1
3425593272,1
25397164,1
66584326,1
4795556396,1
4520123307,0
78776348,1
93665600,1
1400726064,1
1410468181,1
15220768,0
355470606,0
15114375,0
900993354,1
